Component,Subtotal,Example Sourcing Link,
M16 tap,$47.00 ,https://www.mcmaster.com/26015A236,
"1/4"" NPT tap ",$25.00 ,https://www.mcmaster.com/2525A173-2525A173,
"3/4"" NPT tap ",$71.00 ,https://www.mcmaster.com/2525A176/,
"1/4""-28 tap",$6.99 ,https://www.mcmaster.com/26955A88/,
Ingmar QuickLung Test Bellows,"$1,500.00 ",https://www.ingmarmed.com/product/quicklung/,
